NEW RUN
50000 500000 100
62100 3606.28 -1901.71 0.300472
62200 3596.74 -1898 0.299683
62300 3602.23 -1928.87 0.300133
62400 3589.37 -1930.16 0.299073
62500 3599.11 -1940.29 0.299884
62600 3592.79 -1930.88 0.299349
62700 3593.44 -1923.91 0.299406
62800 3599.26 -1928.27 0.299893
62900 3594.94 -1912.01 0.299529
63000 3610.11 -1919.51 0.300797
63100 3594.31 -1927.64 0.299473
63200 3596.4 -1911.5 0.299651
63300 3599.14 -1903.96 0.299875
63400 3597.28 -1890.84 0.299728
63500 3599.91 -1893.63 0.299942
63600 3603.12 -1892.3 0.300215
63700 3591.53 -1898.33 0.299243
63800 3612.05 -1895.54 0.300964
63900 3598.45 -1907.88 0.299822
64000 3594.47 -1905.14 0.299491
64100 3607.42 -1920.97 0.30058
64200 3586.74 -1929.56 0.298854
64300 3610.4 -1942.64 0.30082
64400 3606.74 -1965.12 0.300516
64500 3606.01 -1936.42 0.300459
64600 3595 -1931.73 0.299543
64700 3593.7 -1947.46 0.299431
64800 3603.12 -1942.93 0.300214
64900 3607.4 -1952.34 0.300572
65000 3592.41 -1945.23 0.299328
65100 3594.05 -1938.42 0.299463
65200 3605.22 -1963.22 0.300394
65300 3594.01 -1967.59 0.299458
65400 3593.69 -1933.6 0.299434
65500 3593.35 -1934.71 0.299393
65600 3601.78 -1927.98 0.300094
65700 3594.13 -1912.44 0.299449
65800 3598.15 -1917.35 0.299799
65900 3593.18 -1892.6 0.299385
66000 3601.17 -1885.09 0.300046
66100 3604 -1893.26 0.300288
66200 3602.5 -1923.69 0.300162
66300 3596.58 -1934.73 0.299664
66400 3596.31 -1917.09 0.29965
66500 3593.34 -1923.67 0.299391
66600 3602.17 -1935.11 0.300139
66700 3599.7 -1940.42 0.299927
66800 3614.52 -1940.89 0.301165
66900 3592.64 -1954.12 0.299335
67000 3595.44 -1935.21 0.299578
67100 3610.72 -1924.75 0.300846
67200 3590.11 -1907.68 0.29913
67300 3600.36 -1898.16 0.299968
67400 3599.48 -1921.32 0.2999
67500 3614.23 -1952.64 0.301145
67600 3602.26 -1936.65 0.300143
67700 3596.29 -1919.08 0.299651
67800 3596.33 -1914.1 0.299642
67900 3590.17 -1884.93 0.299131
68000 3593.05 -1888.15 0.299374
68100 3603.62 -1924.08 0.30025
68200 3605.77 -1919.18 0.300435
68300 3596.88 -1922.09 0.299702
68400 3596.36 -1934.07 0.299651
68500 3605.71 -1938.6 0.300427
68600 3599.35 -1940.04 0.299898
68700 3588.12 -1928.31 0.298959
68800 3602.21 -1918.6 0.300124
68900 3594.32 -1944.35 0.299494
69000 3592.08 -1950.62 0.299292
69100 3597.51 -1914.84 0.299738
69200 3599.47 -1899.76 0.299897
69300 3599.88 -1922.76 0.299949
69400 3603.81 -1896.66 0.300273
69500 3595.08 -1869.44 0.299541
69600 3602.18 -1903.52 0.300137
69700 3592.55 -1900.67 0.299333
69800 3594.25 -1894.15 0.299471
69900 3596.52 -1899.86 0.299653
70000 3609.08 -1913.12 0.300711
70100 3605.86 -1935.1 0.300452
70200 3608.68 -1966.55 0.300672
70300 3590.26 -1971.29 0.299146
70400 3609.26 -1977.6 0.300728
70500 3600.15 -1941.53 0.299967
70600 3601.34 -1913.19 0.300062
70700 3611.81 -1938.5 0.300933
70800 3602.08 -1968.65 0.300131
70900 3603.22 -1943.29 0.300223
71000 3594.38 -1916.14 0.299475
71100 3605.52 -1897.26 0.300416
71200 3610.7 -1918.63 0.300836
71300 3611.05 -1956.12 0.300877
71400 3596.51 -1971.02 0.299654
71500 3603.66 -1952.8 0.300256
71600 3593.84 -1931.48 0.299452
71700 3594.47 -1911.35 0.299484
71800 3611.14 -1921.78 0.300877
71900 3603.44 -1912.81 0.300227
72000 3599.29 -1906.44 0.299881
72100 3599.27 -1911.61 0.299898
72200 3600.84 -1916.67 0.300018
72300 3595.24 -1895.87 0.299559
72400 3608.01 -1890.9 0.300617
72500 3603.81 -1890.86 0.300279
72600 3604.76 -1907.32 0.300349
72700 3599.42 -1873.84 0.299906
72800 3601.77 -1889.31 0.3001
72900 3602.83 -1903.68 0.300185
73000 3595.02 -1893.32 0.299541
73100 3600.5 -1896.98 0.299995
73200 3600.13 -1886.73 0.299971
73300 3605.02 -1895.79 0.300368
73400 3600.18 -1892.11 0.299968
73500 3613.38 -1927.88 0.30106
