NEW RUN
50000 500000 100
36200 3578.67 -1905.84 0.298175
36300 3594.87 -1921.32 0.299526
36400 3575.61 -1901.98 0.297924
36500 3557.82 -1884.81 0.29644
36600 3600.59 -1927.84 0.300009
36700 3616.34 -1943.13 0.301316
36800 3617.48 -1943.73 0.301405
36900 3586.89 -1913.46 0.298857
37000 3573.53 -1900.1 0.29774
37100 3589.78 -1917.08 0.299095
37200 3607.3 -1934 0.300557
37300 3595.44 -1921.74 0.299572
37400 3584.31 -1911.37 0.298645
37500 3591.61 -1918.17 0.299253
37600 3590.25 -1917.2 0.299146
37700 3599.41 -1926.24 0.299902
37800 3590.9 -1916.66 0.299189
37900 3564.14 -1891.01 0.296963
38000 3568.75 -1896.21 0.297357
38100 3582.19 -1908.87 0.298471
38200 3587.09 -1913.75 0.298883
38300 3570.96 -1897.59 0.297521
38400 3587.53 -1914.58 0.298908
38500 3603.73 -1930.5 0.300265
38600 3617.63 -1944.37 0.301407
38700 3613.16 -1939.8 0.301055
38800 3596.42 -1922.97 0.299651
38900 3590.58 -1917.39 0.299171
39000 3615.68 -1943.02 0.301261
39100 3579.83 -1943.41 0.298276
39200 3577.69 -1942.31 0.298096
39300 3559.31 -1922.98 0.296556
39400 3543.38 -1907.39 0.295236
39500 3554.42 -1918.49 0.296144
39600 3552.62 -1916.79 0.29601
39700 3550.76 -1914.68 0.295844
39800 3542 -1906.31 0.295115
39900 3538.54 -1902.85 0.29483
40000 3558.82 -1923.01 0.296517
40100 3561.8 -1925.79 0.296767
40200 3531.27 -1895.21 0.294215
40300 3540.02 -1904.28 0.294953
40400 3578.68 -1943.28 0.298173
40500 3563.84 -1927.53 0.296935
40600 3522.54 -1886.61 0.293492
40700 3530.01 -1893.98 0.294113
40800 3529.9 -1894.01 0.294114
40900 3531.77 -1895.6 0.294253
41000 3542.11 -1906.45 0.295134
41100 3524.31 -1888.36 0.293644
41200 3516.01 -1879.95 0.292952
41300 3547.81 -1912.65 0.295593
41400 3583.33 -1947.72 0.298568
41500 3584.06 -1948.04 0.298624
41600 3562.18 -1926 0.296805
41700 3556.7 -1920.26 0.296332
41800 3536.56 -1901.13 0.294664
41900 3530.56 -1894.23 0.294154
42000 3527.22 -1891.78 0.293894
42100 3616.55 -1931.79 0.301343
42200 3607.6 -1922.67 0.300585
42300 3610.31 -1925.42 0.30082
42400 3607.89 -1922.95 0.300617
42500 3567.87 -1882.71 0.297276
42600 3577.9 -1893.17 0.298112
42700 3568.99 -1883.87 0.297368
42800 3572.98 -1888.34 0.297696
42900 3574.37 -1889.79 0.297812
43000 3560.24 -1874.96 0.296649
43100 3565.46 -1880.81 0.297069
43200 3554.73 -1869.82 0.296168
43300 3548.1 -1863.12 0.295638
43400 3532.25 -1847.31 0.294298
43500 3545.45 -1860.77 0.295404
43600 3595.61 -1911.46 0.299585
43700 3584.99 -1900.02 0.298703
43800 3571.25 -1885.93 0.297559
43900 3581.36 -1896.92 0.298392
44000 3544.87 -1859.66 0.295362
44100 3561.09 -1876.32 0.296713
44200 3555.67 -1870.77 0.29627
44300 3555.48 -1870.56 0.296243
44400 3549.17 -1864.48 0.295716
44500 3564.01 -1878.99 0.296956
44600 3580.37 -1896.08 0.29832
44700 3582.86 -1898.19 0.298519
44800 3595.48 -1910.36 0.299569
44900 3599.91 -1915.09 0.299945
45000 3594.34 -1909.95 0.299483
45100 3566.98 -1913.72 0.297212
45200 3557.19 -1904.65 0.296384
45300 3555.78 -1903.44 0.296264
45400 3584.81 -1932.06 0.29868
45500 3583.92 -1931.24 0.298613
45600 3574.54 -1921.74 0.297827
45700 3556.25 -1903.22 0.296311
45800 3527.27 -1874.64 0.29389
45900 3562.26 -1910.05 0.296804
46000 3580.74 -1928.19 0.298355
46100 3580.11 -1926.85 0.298298
46200 3566.3 -1914.06 0.297142
46300 3583.37 -1930.62 0.298568
46400 3572.79 -1919.72 0.297699
46500 3554.02 -1901.56 0.296116
46600 3556.91 -1904.2 0.296365
46700 3571.32 -1918.57 0.297563
46800 3573.09 -1920.71 0.297719
46900 3577.48 -1924.61 0.298076
47000 3543.54 -1890.57 0.295255
47100 3516.06 -1863.2 0.292956
47200 3515.39 -1862.75 0.292896
47300 3511.43 -1858.86 0.292578
47400 3524.88 -1872.14 0.293687
47500 3514.74 -1862.2 0.292851
47600 3518.3 -1865.42 0.29314
47700 3531.75 -1879.09 0.294267
47800 3524.14 -1871.88 0.293623
47900 3538.02 -1885.08 0.294789
48000 3540.86 -1888.22 0.295031
48100 3602.17 -1878.36 0.300142
48200 3615.27 -1891.62 0.301231
48300 3626.02 -1902.06 0.30212
48400 3615.37 -1891.2 0.301231
48500 3627.03 -1903.29 0.302211
48600 3613.75 -1889.84 0.301089
48700 3642.29 -1919.11 0.303474
48800 3687.95 -1964.89 0.307295
48900 3698.92 -1974.5 0.308194
49000 3686.28 -1962.58 0.30714
49100 3662.46 -1938.58 0.305162
49200 3650.56 -1926.39 0.304166
49300 3656.29 -1932.68 0.304655
49400 3663.81 -1939.92 0.305277
49500 3665.33 -1941.36 0.305394
49600 3657.22 -1933.11 0.304733
49700 3630.81 -1906.99 0.302517
49800 3617.86 -1893.98 0.30143
49900 3637.09 -1913.5 0.303046
50000 3639.86 -1915.95 0.303281
50100 3637.95 -1914.1 0.303116
50200 3655 -1931.14 0.304529
50300 3642.01 -1918.12 0.303455
50400 3637.45 -1913.42 0.303074
50500 3619.12 -1895.36 0.301545
50600 3632.87 -1909.12 0.302692
50700 3621.74 -1897.18 0.301774
50800 3609.98 -1886.53 0.300784
50900 3589.14 -1865.48 0.299042
51000 3587.53 -1863.36 0.298922
51100 3619.75 -1897.37 0.301607
51200 3617.92 -1895.52 0.301456
51300 3625.97 -1903.75 0.302122
51400 3650.73 -1928.17 0.304178
51500 3645.67 -1923.32 0.303759
51600 3638.61 -1915.77 0.303175
51700 3640.02 -1917.89 0.303299
51800 3655.52 -1933.08 0.304579
51900 3623.81 -1900.9 0.301948
52000 3597.38 -1874.87 0.29974
52100 3604.75 -1882.42 0.300343
52200 3622.76 -1900.29 0.301856
52300 3643.06 -1920.69 0.303541
52400 3619.9 -1897.19 0.301615
52500 3605.38 -1882.54 0.300395
52600 3616.41 -1894.27 0.301321
52700 3613.81 -1891.55 0.301103
52800 3599.75 -1876.68 0.299932
52900 3601.95 -1879.55 0.30011
53000 3605.02 -1882.67 0.300368
53100 3615.14 -1892.92 0.301222
53200 3636.08 -1913.55 0.302953
53300 3657.54 -1935.54 0.30476
53400 3667.21 -1944.31 0.305549
53500 3636.78 -1914.54 0.303008
53600 3614.41 -1891.32 0.301157
53700 3605.81 -1883.34 0.300425
53800 3596.1 -1873.6 0.299631
53900 3611.52 -1889.3 0.300908
54000 3627.11 -1904.69 0.302214
54100 3582.79 -1895.29 0.298523
54200 3590.23 -1902.57 0.299141
54300 3582.08 -1894.43 0.298465
54400 3598.59 -1910.72 0.299828
54500 3606.74 -1919.39 0.300513
54600 3630.53 -1943.24 0.3025
54700 3638.4 -1950.47 0.303161
54800 3633.61 -1946.25 0.302749
54900 3633.42 -1946.01 0.302739
55000 3624.57 -1936.25 0.302003
55100 3625.41 -1937.92 0.302079
55200 3605.54 -1917.88 0.300424
55300 3620.05 -1932.43 0.301638
55400 3633.55 -1946.26 0.30275
55500 3632.59 -1944.41 0.302674
55600 3613.69 -1926.36 0.301102
55700 3615.04 -1927.16 0.301206
55800 3617.38 -1929.73 0.301411
55900 3603.49 -1915.61 0.300262
56000 3586.25 -1898.76 0.298807
56100 3571.6 -1883.95 0.29759
56200 3566.89 -1879.17 0.297199
56300 3589.43 -1902.05 0.299069
56400 3628.96 -1941.64 0.302372
56500 3665.28 -1977.98 0.305395
56600 3661.83 -1973.84 0.305107
56700 3629.49 -1941.26 0.302406
56800 3630.52 -1943.61 0.302495
56900 3628.31 -1939.87 0.302315
57000 3608.94 -1921.71 0.300691
57100 3565.5 -1910.52 0.297075
57200 3523.63 -1869.15 0.293572
57300 3558.49 -1904.53 0.296498
57400 3567.39 -1913.06 0.297248
57500 3557.05 -1902.53 0.296367
57600 3546.3 -1891.94 0.29548
57700 3577.36 -1923.45 0.298069
57800 3577.91 -1923.62 0.298114
57900 3596.97 -1942.61 0.299691
58000 3578.45 -1923.77 0.298149
58100 3577.59 -1923.57 0.298079
58200 3568.67 -1914.06 0.297347
58300 3579.9 -1925.94 0.298274
58400 3578.2 -1923.67 0.298134
58500 3567.99 -1913.87 0.297289
58600 3556.16 -1901.54 0.296298
58700 3573.19 -1919.16 0.297708
58800 3580.67 -1926.15 0.298339
58900 3549.56 -1894.91 0.295742
59000 3548.51 -1894.51 0.295659
59100 3576.39 -1922.11 0.297981
59200 3585.47 -1931.32 0.298741
59300 3569.68 -1914.9 0.297424
59400 3551.36 -1897.02 0.29591
59500 3562.25 -1907.94 0.296809
59600 3537.88 -1883.73 0.294781
59700 3541.46 -1886.79 0.295074
59800 3533.22 -1878.94 0.294389
59900 3549.98 -1895.81 0.295786
60000 3558.31 -1903.82 0.296476
60100 3605.39 -1891.45 0.300401
60200 3605.26 -1891.56 0.300393
60300 3592.21 -1877.88 0.299288
60400 3600.71 -1886.68 0.300015
60500 3591.34 -1877.72 0.299234
60600 3587.84 -1873.44 0.298939
60700 3579.45 -1865.22 0.298242
60800 3587 -1873.46 0.29887
60900 3581.08 -1867.27 0.298375
61000 3588.83 -1874.53 0.299022
61100 3589.42 -1875.86 0.299078
61200 3628.42 -1914.92 0.302318
61300 3623.18 -1909.13 0.301891
61400 3663.08 -1949.16 0.305207
61500 3686.11 -1972.88 0.307132
61600 3690.4 -1975.98 0.30749
61700 3635.18 -1920.75 0.302892
61800 3613.18 -1899.21 0.301059
61900 3616.33 -1902.23 0.301323
62000 3612.1 -1898.46 0.300968
62100 3640.37 -1926.71 0.303318
62200 3645.22 -1931.21 0.303724
62300 3617.99 -1903.44 0.301456
62400 3598.93 -1885.15 0.299862
62500 3606.5 -1892.61 0.300506
62600 3591.95 -1877.97 0.299279
62700 3598.7 -1884.84 0.29985
62800 3601.25 -1887.28 0.300056
62900 3627.34 -1913.93 0.302232
63000 3634.49 -1920.51 0.302831
63100 3607.97 -1927.82 0.300619
63200 3626.09 -1945.51 0.302127
63300 3615.51 -1934.69 0.301247
63400 3586.42 -1905.95 0.298821
63500 3580.96 -1900.6 0.298359
63600 3595.3 -1915.02 0.299556
63700 3606.46 -1926.23 0.300482
63800 3596.84 -1916.13 0.299695
63900 3594.91 -1914.28 0.29953
64000 3576.46 -1896.02 0.297995
64100 3575.63 -1894.81 0.297918
64200 3587.18 -1907.21 0.29889
64300 3591.38 -1910.64 0.299229
64400 3590.77 -1910.69 0.299185
64500 3586.09 -1905.4 0.29879
64600 3588.31 -1907.81 0.298975
64700 3588.89 -1908.57 0.299033
64800 3576.16 -1895.38 0.29796
64900 3570.82 -1890.12 0.297516
